"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","988.9","990.8","2025/06/01 06:49:00","986.9","2025/06/01 16:27:00","28.5","35.0","2025/06/01 12:28:00","24.1","2025/06/01 04:57:00","62","39","2025/06/01 10:59:00","0.9","244","6.4","259","2025/06/01 14:01:00","0.0"
"02","986.0","987.8","2025/06/02 00:06:00","983.7","2025/06/02 16:43:00","29.8","34.2","2025/06/02 11:08:00","25.7","2025/06/02 03:16:00","64","48","2025/06/02 11:10:00","3.2","242","15.0","241","2025/06/02 16:49:00","0.0"
"03","988.5","991.7","2025/06/03 23:03:00","985.1","2025/06/03 02:05:00","26.1","32.2","2025/06/03 08:48:00","22.9","2025/06/03 23:59:00","75","54","2025/06/03 08:48:00","1.6","28","9.2","200","2025/06/03 00:04:00","12.5"
"04","992.6","/","--","/","--","23.8","/","--","/","--","80","/","--","1.1","31","/","/","--","15.5"
"05","993.8","994.9","2025/06/05 21:30:00","992.4","2025/06/05 01:35:00","25.0","29.1","2025/06/05 11:25:00","22.5","2025/06/05 01:36:00","86","72","2025/06/05 11:25:00","1.0","62","4.3","90","2025/06/05 09:09:00","12.0"
"06","993.0","994.4","2025/06/06 08:39:00","991.5","2025/06/06 15:36:00","27.3","31.3","2025/06/06 10:46:00","24.0","2025/06/06 00:21:00","85","72","2025/06/06 10:03:00","0.9","266","4.9","242","2025/06/06 11:54:00","0.5"
"07","992.2","993.2","2025/06/07 00:01:00","990.9","2025/06/07 16:24:00","28.6","33.7","2025/06/07 10:41:00","25.4","2025/06/07 04:40:00","82","65","2025/06/07 09:46:00","1.1","266","8.0","299","2025/06/07 13:12:00","0.0"
"08","991.1","992.4","2025/06/08 00:01:00","989.2","2025/06/08 15:31:00","28.9","33.3","2025/06/08 16:03:00","25.8","2025/06/08 05:53:00","81","62","2025/06/08 15:53:00","0.9","272","7.7","231","2025/06/08 12:11:00","0.0"
"09","990.5","991.6","2025/06/09 21:55:00","988.9","2025/06/09 17:43:00","28.9","34.1","2025/06/09 10:12:00","25.7","2025/06/09 02:01:00","80","61","2025/06/09 10:11:00","1.1","100","7.5","275","2025/06/09 12:11:00","0.0"
