year_month,station_id,station_name,station_name_en,station_attribute,metric,value,source_file
2017-12-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,519.6,dy_Report_2017.xml
2017-01-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,254.7,dy_Report_2017.xml
2017-02-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,264.5,dy_Report_2017.xml
2017-03-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,288.8,dy_Report_2017.xml
2017-04-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,141.9,dy_Report_2017.xml
2017-05-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,229.1,dy_Report_2017.xml
2017-06-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,824.9,dy_Report_2017.xml
2017-07-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,67.9,dy_Report_2017.xml
2017-08-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,20.2,dy_Report_2017.xml
2017-09-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,188.8,dy_Report_2017.xml
2017-10-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,409.8,dy_Report_2017.xml
2017-11-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,708.2,dy_Report_2017.xml
2017-12-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,458.8,dy_Report_2017.xml
2017-01-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,34.7,dy_Report_2017.xml
2017-02-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,81.8,dy_Report_2017.xml
2017-03-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,173.7,dy_Report_2017.xml
2017-04-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,63.9,dy_Report_2017.xml
2017-05-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,198.4,dy_Report_2017.xml
2017-06-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,534.8,dy_Report_2017.xml
2017-07-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,37.5,dy_Report_2017.xml
2017-08-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,11.6,dy_Report_2017.xml
2017-09-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,19.0,dy_Report_2017.xml
2017-10-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,191.9,dy_Report_2017.xml
2017-11-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,198.1,dy_Report_2017.xml
2017-12-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,67.7,dy_Report_2017.xml
2017-01-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,19.0,dy_Report_2017.xml
2017-02-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,51.5,dy_Report_2017.xml
2017-03-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,76.0,dy_Report_2017.xml
2017-04-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,106.2,dy_Report_2017.xml
2017-05-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,144.5,dy_Report_2017.xml
2017-06-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,211.0,dy_Report_2017.xml
2017-07-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,153.5,dy_Report_2017.xml
2017-08-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,138.0,dy_Report_2017.xml
2017-09-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,126.0,dy_Report_2017.xml
2017-10-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,753.0,dy_Report_2017.xml
2017-11-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,99.0,dy_Report_2017.xml
2017-12-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,70.5,dy_Report_2017.xml
2017-01-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,25.4,dy_Report_2017.xml
2017-02-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,82.1,dy_Report_2017.xml
2017-03-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,170.7,dy_Report_2017.xml
2017-04-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,121.3,dy_Report_2017.xml
2017-05-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,83.4,dy_Report_2017.xml
2017-06-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,761.2,dy_Report_2017.xml
2017-07-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,37.3,dy_Report_2017.xml
2017-08-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,23.8,dy_Report_2017.xml
2017-09-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,18.3,dy_Report_2017.xml
2017-10-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,159.8,dy_Report_2017.xml
2017-11-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,68.8,dy_Report_2017.xml
2017-12-01,467050,新屋,XINWU,署屬有人氣象站,Precipitation,40.1,dy_Report_2017.xml
2017-01-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,268.3,dy_Report_2017.xml
2017-02-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,209.3,dy_Report_2017.xml
2017-03-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,130.7,dy_Report_2017.xml
2017-04-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,127.9,dy_Report_2017.xml
2017-05-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,271.7,dy_Report_2017.xml
2017-06-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,329.9,dy_Report_2017.xml
2017-07-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,219.1,dy_Report_2017.xml
2017-08-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,88.4,dy_Report_2017.xml
2017-09-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,463.0,dy_Report_2017.xml
2017-10-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,641.8,dy_Report_2017.xml
2017-11-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,999.3,dy_Report_2017.xml
2017-12-01,467060,蘇澳,SU-AO,署屬有人氣象站,Precipitation,1015.9,dy_Report_2017.xml
2017-01-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,96.6,dy_Report_2017.xml
2017-02-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,74.7,dy_Report_2017.xml
2017-03-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,97.3,dy_Report_2017.xml
2017-04-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,151.8,dy_Report_2017.xml
2017-05-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,227.6,dy_Report_2017.xml
2017-06-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,312.1,dy_Report_2017.xml
2017-07-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,133.9,dy_Report_2017.xml
2017-08-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,45.4,dy_Report_2017.xml
2017-09-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,660.8,dy_Report_2017.xml
2017-10-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,661.8,dy_Report_2017.xml
