year_month,station_id,station_name,station_name_en,station_attribute,source_file,Precipitation
2017-03-01,466920,臺北,TAIPEI,署屬有人氣象站,dy_Report_2017.xml,182.7
2017-03-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,dy_Report_2017.xml,175.0
2017-03-01,466940,基隆,KEELUNG,署屬有人氣象站,dy_Report_2017.xml,288.8
2017-03-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,dy_Report_2017.xml,173.7
2017-03-01,466990,花蓮,HUALIEN,署屬有人氣象站,dy_Report_2017.xml,76.0
2017-03-01,467050,新屋,XINWU,署屬有人氣象站,dy_Report_2017.xml,170.7
2017-03-01,467060,蘇澳,SU-AO,署屬有人氣象站,dy_Report_2017.xml,130.7
2017-03-01,467080,宜蘭,YILAN,署屬有人氣象站,dy_Report_2017.xml,97.3
2017-03-01,467110,金門,KINMEN,署屬有人氣象站,dy_Report_2017.xml,39.7
2017-03-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,dy_Report_2017.xml,2.4
2017-03-01,467350,澎湖,PENGHU,署屬有人氣象站,dy_Report_2017.xml,16.8
2017-03-01,467410,臺南,TAINAN,署屬有人氣象站,dy_Report_2017.xml,12.8
2017-03-01,467420,永康,YONGKANG,署屬有人氣象站,dy_Report_2017.xml,6.0
2017-03-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,dy_Report_2017.xml,3.5
2017-03-01,467480,嘉義,CHIAYI,署屬有人氣象站,dy_Report_2017.xml,18.4
2017-03-01,467490,臺中,TAICHUNG,署屬有人氣象站,dy_Report_2017.xml,38.0
2017-03-01,467530,阿里山,ALISHAN,署屬有人氣象站,dy_Report_2017.xml,107.4
2017-03-01,467540,大武,DAWU,署屬有人氣象站,dy_Report_2017.xml,19.4
2017-03-01,467550,玉山,YUSHAN,署屬有人氣象站,dy_Report_2017.xml,35.4
2017-03-01,467571,新竹,HSINCHU,署屬有人氣象站,dy_Report_2017.xml,154.6
2017-03-01,467590,恆春,HENGCHUN,署屬有人氣象站,dy_Report_2017.xml,2.4
2017-03-01,467610,成功,CHENGGONG,署屬有人氣象站,dy_Report_2017.xml,75.9
2017-03-01,467620,蘭嶼,LANYU,署屬有人氣象站,dy_Report_2017.xml,150.0
2017-03-01,467650,日月潭,SUN MOON LAKE,署屬有人氣象站,dy_Report_2017.xml,57.5
2017-03-01,467660,臺東,TAITUNG,署屬有人氣象站,dy_Report_2017.xml,42.2
2017-03-01,467990,馬祖,MATSU,署屬有人氣象站,dy_Report_2017.xml,155.3
2017-03-01,C0G650,員林,Yuanlin,署屬自動氣象站,dy_Report_2017.xml,42.5
2017-03-01,C0K400,斗六,Douliu,署屬自動氣象站,dy_Report_2017.xml,37.0
2017-03-01,C1E770,公館,Gongguan,署屬自動氣象站,dy_Report_2017.xml,102.5
2017-04-01,466880,板橋,BANQIAO,署屬有人氣象站,dy_Report_2017.xml,125.7
2017-04-01,466900,淡水,TAMSUI,署屬有人氣象站,dy_Report_2017.xml,98.5
2017-04-01,466910,鞍部,ANBU,署屬有人氣象站,dy_Report_2017.xml,150.6
2017-04-01,466920,臺北,TAIPEI,署屬有人氣象站,dy_Report_2017.xml,121.5
2017-04-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,dy_Report_2017.xml,135.5
2017-04-01,466940,基隆,KEELUNG,署屬有人氣象站,dy_Report_2017.xml,141.9
2017-04-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,dy_Report_2017.xml,63.9
2017-04-01,466990,花蓮,HUALIEN,署屬有人氣象站,dy_Report_2017.xml,106.2
2017-04-01,467050,新屋,XINWU,署屬有人氣象站,dy_Report_2017.xml,121.3
2017-04-01,467060,蘇澳,SU-AO,署屬有人氣象站,dy_Report_2017.xml,127.9
2017-04-01,467080,宜蘭,YILAN,署屬有人氣象站,dy_Report_2017.xml,151.8
2017-04-01,467110,金門,KINMEN,署屬有人氣象站,dy_Report_2017.xml,44.6
2017-04-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,dy_Report_2017.xml,79.4
2017-04-01,467350,澎湖,PENGHU,署屬有人氣象站,dy_Report_2017.xml,132.3
2017-04-01,467410,臺南,TAINAN,署屬有人氣象站,dy_Report_2017.xml,64.5
2017-04-01,467420,永康,YONGKANG,署屬有人氣象站,dy_Report_2017.xml,58.0
2017-04-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,dy_Report_2017.xml,113.5
2017-04-01,467480,嘉義,CHIAYI,署屬有人氣象站,dy_Report_2017.xml,105.9
2017-04-01,467490,臺中,TAICHUNG,署屬有人氣象站,dy_Report_2017.xml,98.8
2017-04-01,467530,阿里山,ALISHAN,署屬有人氣象站,dy_Report_2017.xml,330.5
2017-04-01,467540,大武,DAWU,署屬有人氣象站,dy_Report_2017.xml,91.1
2017-04-01,467550,玉山,YUSHAN,署屬有人氣象站,dy_Report_2017.xml,358.0
2017-04-01,467571,新竹,HSINCHU,署屬有人氣象站,dy_Report_2017.xml,124.0
2017-04-01,467590,恆春,HENGCHUN,署屬有人氣象站,dy_Report_2017.xml,28.0
2017-04-01,467610,成功,CHENGGONG,署屬有人氣象站,dy_Report_2017.xml,104.4
2017-04-01,467620,蘭嶼,LANYU,署屬有人氣象站,dy_Report_2017.xml,150.0
2017-04-01,467650,日月潭,SUN MOON LAKE,署屬有人氣象站,dy_Report_2017.xml,255.5
