experiment,model,feature_set,n_features,cv_f1_mean,cv_f1_std,cv_auroc_mean,cv_auroc_std,test_f1,test_auroc
feature_ablation,XGBoost,time_only,8,0.8265394254299883,0.01964672369508242,0.9062599083724703,0.011821482573871615,0.8374189293173574,0.9124880804370545
feature_ablation,XGBoost,time_weather_history,26,0.8272648209168686,0.016447163831293826,0.9006109322526511,0.013745478411690276,0.8347693314429054,0.9068976244697109
feature_ablation,XGBoost,time_weather,18,0.828615907544352,0.015815379031749035,0.9024824947933576,0.01114066346672861,0.8322531033725146,0.9082439138569194
feature_ablation,LogisticRegression,time_weather_history,26,0.7717470389823058,0.03303076213606307,0.8912582459021341,0.011618523558022243,0.8075367009594266,0.8966188027221992
feature_ablation,LogisticRegression,time_only,8,0.7637277731180635,0.029799867683338026,0.8679297894624469,0.008952907679560517,0.7940609769919529,0.8648673132569579
feature_ablation,LogisticRegression,time_weather,18,0.7534141073806798,0.03088993365126743,0.865111894826153,0.011006765249453352,0.7908615594453284,0.8649738426768718
