model,accuracy,precision,recall,f1,roc_auc
RandomForest,0.8265981735159817,0.7644230769230769,0.91752825198365,0.8340072123265216,0.9075330906194066
LogisticRegression,0.809931506849315,0.7697966248377326,0.855494109160856,0.8103860608131193,0.8965217060029447
