train_ratio,train_ratio_label,train_rows,train_start,train_end,model,cv_f1_mean,cv_f1_std,cv_auroc_mean,cv_auroc_std,test_f1,test_auroc
0.25,25%,2196,2024-01-01,2024-04-01,LogisticRegression,0.8021111724384229,0.046146361611861364,0.8457173932701908,0.06627014034052849,0.7325997613681559,0.8869942080082427
0.5,50%,4392,2024-01-01,2024-07-01,LogisticRegression,0.7919327935636746,0.03300827683415216,0.8848528018361952,0.015411715679802781,0.7757216876387861,0.8918810263133675
0.75,75%,6588,2024-01-01,2024-10-01,LogisticRegression,0.7898808102974514,0.025236057719252993,0.8913357966178846,0.006054285649632321,0.800844475721323,0.8952742901317906
1.0,100%,8784,2024-01-01,2024-12-31,LogisticRegression,0.7717470389823058,0.03303076213606307,0.8912582459021341,0.011618523558022243,0.8075367009594266,0.8966188027221992
0.25,25%,2196,2024-01-01,2024-04-01,XGBoost,0.8274118285213501,0.03383154086316789,0.8878762240451635,0.021439027535004488,0.8253898528442785,0.8979104294784387
0.5,50%,4392,2024-01-01,2024-07-01,XGBoost,0.8194524291408423,0.013164179681103887,0.889632581410144,0.0070689240270438,0.8287170396631952,0.903775478939497
0.75,75%,6588,2024-01-01,2024-10-01,XGBoost,0.8264229113067474,0.005867337118400668,0.8973381009269058,0.004867828912152042,0.8314899154196487,0.9033390140314166
1.0,100%,8784,2024-01-01,2024-12-31,XGBoost,0.8272648209168686,0.016447163831293826,0.9006109322526511,0.013745478411690276,0.8350639414143622,0.9070144749886846
