model,accuracy,precision,recall,f1,roc_auc
LR_time_weather_history,0.8107305936073059,0.7704953493402552,0.8564558788170233,0.8112047369619677,0.8963506109228373
LR_time_only,0.7937214611872146,0.7508532423208191,0.8463572974272662,0.7957499717418334,0.8640858884760042
LR_time_weather,0.7938356164383562,0.7512278453982489,0.8458764125991824,0.7957475684234336,0.8642435269332869
